run,sid,block,condition,m,N,k,delta,rotation,target_label,n_draws,mean_logodds,sd_logodds,b_pos,q_t,b_star,correct,denominator,s,abs_err_nats,is_flip,n_clipped
deepseek-high,B1-CORE|m2|N9|k4|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,4,0,0,SIGMA,3,1.176528,0.411569,1.62186,-0.405465,-0.405465,1.62186,-2.027326,0.219665,0.445332,True,0
deepseek-high,B1-CORE|m2|N9|k4|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,4,0,0,SIGMA,3,-0.405465,0.0,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,1.0,0.0,True,0
deepseek-high,B1-CORE|m2|N9|k4|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,4,3/10,0,SIGMA,3,0.540806,0.0,1.62186,0.540745,-0.405465,0.540745,-1.081116,0.999943,6.2e-05,False,0
deepseek-high,B1-CORE|m2|N9|k4|rot1|FULL,B1-CORE,FULL,2,9,4,0,1,THETA,2,1.005007,1.994708,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.30427,1.410472,True,0
deepseek-high,B1-CORE|m2|N9|k4|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,4,0,1,THETA,3,1.35082,0.468808,1.62186,-0.405465,-0.405465,1.62186,-2.027326,0.133694,0.271041,True,0
deepseek-high,B1-CORE|m2|N9|k4|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,4,0,1,THETA,3,-0.27031,0.234095,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.933333,0.135155,True,0
deepseek-high,B1-CORE|m2|N9|k4|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,4,3/10,1,THETA,3,0.540806,0.0,1.62186,0.540745,-0.405465,0.540745,-1.081116,0.999943,6.2e-05,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot0|FULL,B1-CORE,FULL,2,9,6,0,0,SIGMA,3,1.330815,0.202388,2.432791,1.216395,1.216395,1.216395,-1.216395,0.905935,0.11442,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,6,0,0,SIGMA,3,1.75438,1.168194,2.432791,1.216395,1.216395,2.432791,-1.216395,0.557722,0.678411,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,6,0,0,SIGMA,3,1.213966,0.0,2.432791,1.216395,1.216395,1.216395,-1.216395,1.001997,0.002429,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,6,3/10,0,SIGMA,3,1.782457,0.0,2.432791,1.784121,1.216395,1.784121,-0.648669,1.002566,0.001664,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot1|FULL,B1-CORE,FULL,2,9,6,0,1,THETA,3,0.809311,0.700884,2.432791,1.216395,1.216395,1.216395,-1.216395,1.334665,0.407084,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,6,0,1,THETA,3,2.428837,0.0,2.432791,1.216395,1.216395,2.432791,-1.216395,0.00325,0.003954,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,6,0,1,THETA,2,1.213966,0.0,2.432791,1.216395,1.216395,1.216395,-1.216395,1.001997,0.002429,False,0
deepseek-high,B1-CORE|m2|N9|k6|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,6,3/10,1,THETA,3,1.782457,0.0,2.432791,1.784121,1.216395,1.784121,-0.648669,1.002566,0.001664,False,0
deepseek,B1-CORE|m2|N9|k0|rot0|FULL,B1-CORE,FULL,2,9,0,0,0,SIGMA,10,-3.660018,1.467825,0.0,-3.649186,-3.649186,-3.649186,-3.649186,1.002968,0.010832,False,1
deepseek,B1-CORE|m2|N9|k0|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,0,0,0,SIGMA,10,0.0,0.0,0.0,-3.649186,-3.649186,0.0,-3.649186,-0.0,0.0,False,0
deepseek,B1-CORE|m2|N9|k0|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,0,0,0,SIGMA,10,0.0,0.0,0.0,-3.649186,-3.649186,-3.649186,-3.649186,-0.0,3.649186,False,0
